node_id,concept_name,path,datatype,node_type,coverage_global,coverage_local,coverage,child_count,queriability,distinct_count,recommended_widget
Outpatient_high_complexity_procedures__Admin_Entry:_HCPA__components__General_data__issue_date,issue date,Outpatient high complexity procedures / Admin Entry: HCPA / components / General data / issue date,DV_DATE,field,0.3333,1.0,0.8667,0,2.8362,21,date_picker
Outpatient_high_complexity_procedures__Admin_Entry:_HCPA__components__General_data__reason_for_encounter,reason for encounter,Outpatient high complexity procedures / Admin Entry: HCPA / components / General data / reason for encounter,DV_TEXT,field,0.3333,1.0,0.8667,0,2.6628,1,dropdown
Outpatient_high_complexity_procedures__Admin_Entry:_HCPA__components__General_data__healthcare_unit,healthcare unit,Outpatient high complexity procedures / Admin Entry: HCPA / components / General data / healthcare unit,DV_TEXT,field,0.3333,1.0,0.8667,0,2.8188,19,dropdown
Outpatient_high_complexity_procedures__Admin_Entry:_HCPA__components__General_data__State,State,Outpatient high complexity procedures / Admin Entry: HCPA / components / General data / State,DV_CODED_TEXT,field,0.3333,1.0,0.8667,0,2.7148,7,dropdown
Outpatient_high_complexity_procedures__Admin_Entry:_HCPA__components__General_data__patient_age,patient age,Outpatient high complexity procedures / Admin Entry: HCPA / components / General data / patient age,DV_COUNT,field,0.3333,1.0,0.8667,0,2.8102,18,number_input
Outpatient_high_complexity_procedures__Admin_Entry:_HCPA__components__chemotherapy__duration_of_treatment,duration of treatment,Outpatient high complexity procedures / Admin Entry: HCPA / components / chemotherapy / duration of treatment,DV_QUANTITY,field,0.3333,1.0,0.8667,0,2.7148,7,number_input
Outpatient_high_complexity_procedures__Admin_Entry:_HCPA__components__chemotherapy__schema,schema,Outpatient high complexity procedures / Admin Entry: HCPA / components / chemotherapy / schema,DV_CODED_TEXT,field,0.3333,1.0,0.8667,0,2.8102,18,dropdown
Outpatient_high_complexity_procedures__Admin_Entry:_HCPA__components__chemotherapy__date_of_beginning_of_chemotherapy,date of beginning of chemotherapy,Outpatient high complexity procedures / Admin Entry: HCPA / components / chemotherapy / date of beginning of chemotherapy,DV_DATE,field,0.3333,1.0,0.8667,0,2.8015,17,date_picker
Outpatient_high_complexity_procedures__Admin_Entry:_Patient_discharge__Components__date_of_discharge,date of discharge,Outpatient high complexity procedures / Admin Entry: Patient discharge / Components / date of discharge,DV_DATE,field,0.3333,1.0,0.8667,0,2.6975,5,date_picker
Outpatient_high_complexity_procedures__Admin_Entry:_Patient_discharge__Components__reason_for_discharge,reason for discharge,Outpatient high complexity procedures / Admin Entry: Patient discharge / Components / reason for discharge,DV_DATE,field,0.3333,1.0,0.8667,0,2.6888,4,date_picker
Outpatient_high_complexity_procedures__Evaluation:_Problem_Diagnosis__structure__Problem,Problem,Outpatient high complexity procedures / Evaluation: Problem/Diagnosis / structure / Problem,DV_CODED_TEXT,field,0.3333,1.0,0.8667,0,2.7582,12,dropdown
Outpatient_high_complexity_procedures__Evaluation:_Problem_Diagnosis__structure__Secondary_Diagnosis,Secondary Diagnosis,Outpatient high complexity procedures / Evaluation: Problem/Diagnosis / structure / Secondary Diagnosis,DV_CODED_TEXT,field,0.3333,1.0,0.8667,0,2.6802,3,dropdown
Outpatient_high_complexity_procedures__Evaluation:_Problem_Diagnosis__structure__Associated_causes,Associated causes,Outpatient high complexity procedures / Evaluation: Problem/Diagnosis / structure / Associated causes,DV_TEXT,field,0.3333,1.0,0.8667,0,2.6628,1,dropdown
Outpatient_high_complexity_procedures__Evaluation:_Problem_Diagnosis__structure__Invaded_regional_linphonodes,Invaded regional linphonodes,Outpatient high complexity procedures / Evaluation: Problem/Diagnosis / structure / Invaded regional linphonodes,DV_TEXT,field,0.3333,1.0,0.8667,0,2.6715,2,dropdown
Outpatient_high_complexity_procedures__Evaluation:_Problem_Diagnosis__structure__Tumour_-_TNM_Cancer_staging__Clinical_(cTNM)__Clinical_staging,Clinical staging,Outpatient high complexity procedures / Evaluation: Problem/Diagnosis / structure / Tumour - TNM Cancer staging / Clinical (cTNM) / Clinical staging,DV_COUNT,field,0.3333,1.0,0.8667,0,2.6888,4,number_input
Outpatient_high_complexity_procedures__Evaluation:_Problem_Diagnosis__structure__Tumour_-_TNM_Cancer_staging__Pathological_(pTNM)__Histopathological_grading_(G),Histopathological grading (G),Outpatient high complexity procedures / Evaluation: Problem/Diagnosis / structure / Tumour - TNM Cancer staging / Pathological (pTNM) / Histopathological grading (G),DV_TEXT,field,0.3333,1.0,0.8667,0,2.6802,3,dropdown
Outpatient_high_complexity_procedures__Evaluation:_Problem_Diagnosis__structure__Tumour_-_TNM_Cancer_staging__Pathological_(pTNM)__date_of_pathological_identification,date of pathological identification,Outpatient high complexity procedures / Evaluation: Problem/Diagnosis / structure / Tumour - TNM Cancer staging / Pathological (pTNM) / date of pathological identification,DV_DATE,field,0.3333,1.0,0.8667,0,2.8275,20,date_picker
Outpatient_high_complexity_procedures__Evaluation:_Problem_Diagnosis__structure__Tumour_-_TNM_Cancer_staging__topography,topography,Outpatient high complexity procedures / Evaluation: Problem/Diagnosis / structure / Tumour - TNM Cancer staging / topography,DV_TEXT,field,0.3333,1.0,0.8667,0,2.7582,12,dropdown
Outpatient_high_complexity_procedures__Action:_Procedure_undertaken__Procedure_list__Procedure,Procedure,Outpatient high complexity procedures / Action: Procedure undertaken / Procedure list / Procedure,DV_CODED_TEXT,field,0.3333,1.0,0.8667,0,2.7755,14,dropdown
Hospitalisation__Admin_Entry:_Patient_discharge__Components__date_of_discharge,date of discharge,Hospitalisation / Admin Entry: Patient discharge / Components / date of discharge,DV_DATE,field,0.3333,1.0,0.8667,0,2.6108,20,date_picker
Hospitalisation__Admin_Entry:_Patient_discharge__Components__hospital_infection,hospital infection,Hospitalisation / Admin Entry: Patient discharge / Components / hospital infection,DV_TEXT,field,0.3333,1.0,0.8667,0,2.4462,1,dropdown
Hospitalisation__Admin_Entry:_Patient_discharge__Components__claim_reason,claim reason,Hospitalisation / Admin Entry: Patient discharge / Components / claim reason,DV_TEXT,field,0.3333,1.0,0.8667,0,2.4982,7,dropdown
Hospitalisation__Admin_Entry:_Patient_discharge__Components__death_indicator,death indicator,Hospitalisation / Admin Entry: Patient discharge / Components / death indicator,DV_TEXT,field,0.3333,1.0,0.8667,0,2.4548,2,dropdown
Hospitalisation__Admin_Entry:_Authorization_for_hospital_admission__Components__Issue_date,Issue date,Hospitalisation / Admin Entry: Authorization for hospital admission / Components / Issue date,DV_DATE,field,0.3333,1.0,0.8667,0,2.6195,21,date_picker
Hospitalisation__Admin_Entry:_Authorization_for_hospital_admission__Components__ICU_-_Total,ICU - Total,Hospitalisation / Admin Entry: Authorization for hospital admission / Components / ICU - Total,DV_COUNT,field,0.3333,1.0,0.8667,0,2.4982,7,number_input
Hospitalisation__Admin_Entry:_Patient_admission__Tree__Patient_class,Patient class,Hospitalisation / Admin Entry: Patient admission / Tree / Patient class,DV_TEXT,field,0.3333,1.0,0.8667,0,2.4462,1,dropdown
Hospitalisation__Admin_Entry:_Patient_admission__Tree__Assigned_patient_location__Facility__Universal_ID,Universal ID,Hospitalisation / Admin Entry: Patient admission / Tree / Assigned patient location / Facility / Universal ID,DV_TEXT,field,0.3333,1.0,0.8667,0,2.5588,14,dropdown
Hospitalisation__Admin_Entry:_Patient_admission__Tree__Assigned_patient_location__Address__State_province,State/province,Hospitalisation / Admin Entry: Patient admission / Tree / Assigned patient location / Address / State/province,DV_CODED_TEXT,field,0.3333,1.0,0.8667,0,2.4982,7,dropdown
Hospitalisation__Admin_Entry:_Patient_admission__Tree__Admission_type,Admission type,Hospitalisation / Admin Entry: Patient admission / Tree / Admission type,DV_CODED_TEXT,field,0.3333,1.0,0.8667,0,2.4635,3,dropdown
Hospitalisation__Admin_Entry:_Patient_admission__Tree__Hospital_service,Hospital service,Hospitalisation / Admin Entry: Patient admission / Tree / Hospital service,DV_TEXT,field,0.3333,1.0,0.8667,0,2.4722,4,dropdown
Hospitalisation__Admin_Entry:_Patient_admission__Tree__Admit_date_time,Admit date/time,Hospitalisation / Admin Entry: Patient admission / Tree / Admit date/time,DV_DATE,field,0.3333,1.0,0.8667,0,2.6195,21,date_picker
Hospitalisation__Evaluation:_Problem_Diagnosis__structure__Problem,Problem,Hospitalisation / Evaluation: Problem/Diagnosis / structure / Problem,DV_CODED_TEXT,field,0.3333,1.0,0.8667,0,2.6108,20,dropdown
Hospitalisation__Evaluation:_Problem_Diagnosis__structure__Secondary_Diagnosis,Secondary Diagnosis,Hospitalisation / Evaluation: Problem/Diagnosis / structure / Secondary Diagnosis,DV_CODED_TEXT,field,0.3333,1.0,0.8667,0,2.6282,22,autocomplete
Hospitalisation__Action:_Procedure_undertaken__Procedure_list__Procedure,Procedure,Hospitalisation / Action: Procedure undertaken / Procedure list / Procedure,DV_CODED_TEXT,field,0.3333,1.0,0.8667,0,2.5588,14,dropdown
Demographic_data__Admin_Entry:_Demographic_data__components__birth_date,birth date,Demographic data / Admin Entry: Demographic data / components / birth date,DV_DATE,field,0.3333,1.0,0.8667,0,1.5015,17,date_picker
Demographic_data__Admin_Entry:_Demographic_data__components__gender,gender,Demographic data / Admin Entry: Demographic data / components / gender,DV_CODED_TEXT,field,0.3333,1.0,0.8667,0,1.3715,2,dropdown
Demographic_data__Admin_Entry:_Demographic_data__components__race,race,Demographic data / Admin Entry: Demographic data / components / race,DV_CODED_TEXT,field,0.3333,1.0,0.8667,0,1.3628,1,dropdown
Demographic_data__Admin_Entry:_Demographic_data__components__ethnic_group,ethnic group,Demographic data / Admin Entry: Demographic data / components / ethnic group,DV_TEXT,field,0.3333,1.0,0.8667,0,1.3628,1,dropdown
Demographic_data__Admin_Entry:_Demographic_data__components__educational_level,educational level,Demographic data / Admin Entry: Demographic data / components / educational level,DV_CODED_TEXT,field,0.3333,1.0,0.8667,0,1.3802,3,dropdown
Demographic_data__Admin_Entry:_Demographic_data__components__nationality,nationality,Demographic data / Admin Entry: Demographic data / components / nationality,DV_CODED_TEXT,field,0.3333,1.0,0.8667,0,1.3628,1,dropdown
